timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent,bytes_received,packets_sent,packets_received,active_connections,response_time_ms,time_diff_seconds,bytes_sent_diff,bytes_received_diff,packets_sent_diff,packets_received_diff,bytes_sent_per_second,bytes_received_per_second,packets_sent_per_second,packets_received_per_second,network_bytes_per_second,network_packets_per_second,high_cpu,high_ram,high_response_time,anomaly_prediction,anomaly_score,status
2026-08-19 12:19:48,15.8,88.9,72.8,10831571,66391555,34021,62051,140,430.03,7.0,30092.0,46953.0,58.0,93.0,4298.857142857143,6707.571428571428,8.285714285714286,13.285714285714286,11006.428571428572,21.571428571428573,0,0,0,1,0.24353871923171366,NORMAL
2026-08-19 12:19:54,17.4,90.3,72.8,10852958,66433377,34087,62127,144,463.14,6.0,21387.0,41822.0,66.0,76.0,3564.5,6970.333333333333,11.0,12.666666666666666,10534.833333333332,23.666666666666664,0,1,0,1,0.24069251828746197,NORMAL
2026-08-19 12:20:01,16.3,89.6,72.8,10870153,66460771,34130,62182,144,523.06,7.0,17195.0,27394.0,43.0,55.0,2456.428571428572,3913.428571428572,6.142857142857143,7.857142857142857,6369.857142857143,14.0,0,0,0,1,0.22631585730968684,NORMAL
2026-08-19 12:20:07,29.3,88.4,72.8,10879118,66492672,34161,62226,144,562.9,6.0,8965.0,31901.0,31.0,44.0,1494.1666666666667,5316.833333333333,5.166666666666667,7.333333333333333,6811.0,12.5,0,0,0,1,0.20793236950755917,NORMAL
2026-08-19 12:20:14,21.5,86.1,72.8,10891783,66528497,34214,62294,149,459.61,7.0,12665.0,35825.0,53.0,68.0,1809.2857142857144,5117.857142857143,7.571428571428571,9.714285714285714,6927.142857142857,17.285714285714285,0,0,0,1,0.2615071491908624,NORMAL
2026-08-19 12:20:20,23.1,86.4,72.8,10980385,66673279,34500,62618,177,432.23,6.0,88602.0,144782.0,286.0,324.0,14767.0,24130.33333333333,47.66666666666666,54.0,38897.33333333333,101.66666666666666,0,0,0,1,0.20451260487444545,NORMAL
2026-08-19 12:20:27,16.2,86.0,72.8,10986039,66692729,34521,62653,176,436.58,7.0,5654.0,19450.0,21.0,35.0,807.7142857142857,2778.5714285714284,3.0,5.0,3586.285714285714,8.0,0,0,0,1,0.2627781032726494,NORMAL
2026-08-19 12:20:33,12.3,86.0,72.8,10991610,66723648,34541,62690,176,455.62,6.0,5571.0,30919.0,20.0,37.0,928.5,5153.166666666667,3.333333333333333,6.166666666666667,6081.666666666667,9.5,0,0,0,1,0.2558475544137848,NORMAL
2026-08-19 12:20:40,15.9,86.3,72.8,11006023,66783834,34594,62763,159,516.03,7.0,14413.0,60186.0,53.0,73.0,2059.0,8598.0,7.571428571428571,10.428571428571429,10657.0,18.0,0,0,0,1,0.24379306074913748,NORMAL
2026-08-19 12:20:46,14.9,86.4,72.8,11026133,66858449,34659,62882,147,450.04,6.0,20110.0,74615.0,65.0,119.0,3351.6666666666665,12435.833333333334,10.833333333333334,19.83333333333333,15787.5,30.666666666666664,0,0,0,1,0.2503246366265164,NORMAL
2026-08-19 12:20:53,13.5,86.6,72.8,11036520,66881110,34690,62923,139,468.93,7.0,10387.0,22661.0,31.0,41.0,1483.857142857143,3237.285714285714,4.428571428571429,5.857142857142857,4721.142857142857,10.285714285714285,0,0,0,1,0.2588628896999749,NORMAL
